position_id,employee_id,job_id,position_location,starting_date,performance_score
1,331,17,Germany,2020-04-05,8
2,345,9,United States,2022-07-11,8
3,51,20,Spain,2023-10-19,8
4,430,21,Singapore,2023-03-26,7
5,127,36,Israel,2020-09-15,8
6,1,15,Israel,2020-04-12,8
7,374,10,United Kingdom,2021-07-05,8
8,349,8,Argentina,2023-01-25,7
9,119,1,Argentina,2023-03-23,2
10,189,,Italy,2023-04-16,
11,462,3,India,2021-02-25,3
12,164,4,Brazil,2022-07-09,9
13,339,29,Canada,2023-09-06,9
14,398,7,Brazil,2020-01-06,8
15,381,16,Brazil,2023-02-01,3
16,205,32,Israel,2020-10-03,8
17,347,15,Israel,2021-05-07,8
18,195,16,Australia,2023-05-03,
19,91,17,Israel,2022-01-07,8
20,461,28,Brazil,2020-05-05,6
21,97,26,Singapore,2022-04-10,
22,229,16,United States,2020-08-25,2
23,160,35,United Kingdom,2023-08-07,
24,370,13,United States,2020-09-26,
25,169,8,Israel,2022-02-21,9
26,191,2,Italy,,7
27,132,35,Germany,2022-02-09,9
28,364,2,Singapore,2020-10-07,9
29,19,4,Israel,2023-07-31,8
30,184,21,Japan,2022-07-27,6
31,151,33,France,2022-12-16,8
32,488,21,United States,2021-02-27,6
33,26,,France,2022-03-23,7
34,431,4,Canada,,8
35,27,11,Italy,2023-10-10,8
36,190,16,Israel,2020-11-26,8
37,133,36,United States,2020-09-24,8
38,189,35,Italy,2020-05-01,7
39,115,21,Israel,2020-09-28,9
40,364,5,Israel,2020-08-19,
41,448,9,United States,2021-03-23,
42,256,,United States,2022-02-03,8
43,349,31,Israel,,3
44,476,16,France,2021-08-21,9
45,324,21,Singapore,2022-02-01,8
46,461,35,Spain,2023-04-19,
47,162,17,United States,2020-07-29,7
48,195,22,United States,2022-04-16,
49,290,1,Japan,2021-04-10,8
50,230,6,Brazil,2022-06-19,8
51,353,21,United States,2020-07-20,3
52,92,22,United States,,5
53,40,5,Brazil,2021-11-22,5
54,191,5,United States,2021-10-19,
55,270,,Israel,2020-12-09,8
56,338,4,United States,,9
57,223,11,India,2023-09-18,4
58,136,36,United States,2022-07-21,9
59,219,32,Italy,2021-11-07,9
60,405,9,United Kingdom,,8
61,295,3,United States,,8
62,223,20,Australia,2021-02-13,
63,322,1,United States,2023-08-05,10
64,288,14,United States,2021-05-12,
65,275,28,Israel,2021-10-05,6
66,174,30,France,2022-08-15,7
67,139,6,United States,2022-01-10,9
68,298,35,Singapore,2020-08-30,8
69,424,5,United States,2021-01-25,6
70,214,2,United Kingdom,,8
71,377,35,Singapore,,8
72,54,27,Australia,2020-11-09,9
73,93,5,Argentina,2020-07-14,7
74,165,29,Argentina,2021-11-11,9
75,8,35,United Kingdom,2021-08-26,5
76,266,36,Spain,2022-08-05,6
77,115,10,Argentina,2021-10-14,3
78,75,,Japan,2023-03-10,8
79,243,33,Spain,2021-08-27,8
80,142,36,United Kingdom,2022-12-26,8
81,34,13,Israel,2020-08-16,8
82,403,9,Israel,2022-05-21,1
83,282,21,India,2021-08-27,6
84,498,11,France,2022-07-18,2
85,280,18,Italy,2022-11-04,4
86,362,9,United Kingdom,,
87,426,5,India,2023-04-12,7
88,264,4,Japan,2020-02-09,7
89,178,22,Israel,2020-09-30,9
90,78,34,Japan,,9
91,491,33,Israel,2020-10-18,9
92,220,7,Singapore,2023-09-01,9
93,121,20,Australia,2021-12-31,8
94,116,14,Israel,2023-12-31,7
95,286,30,Brazil,2021-10-29,2
96,317,20,Spain,2022-12-28,8
97,280,7,United States,2020-04-11,8
98,26,30,Israel,2021-06-16,8
99,201,10,France,2020-10-17,9
100,418,7,United States,2022-07-27,8
101,493,5,Germany,2021-03-12,6
102,116,14,United States,2020-06-05,8
103,269,22,United States,2023-01-16,
104,207,7,Italy,2021-03-23,9
105,332,11,Spain,2020-11-15,1
106,389,32,Australia,2023-10-30,8
107,80,25,Argentina,2020-04-20,6
108,419,13,Israel,2023-11-24,6
109,165,26,United States,2022-06-13,
110,378,21,Spain,,9
111,143,11,Italy,2022-11-03,8
112,65,5,Australia,2021-06-22,2
113,449,9,India,2023-06-07,8
114,328,30,United States,2020-02-18,8
115,283,18,Israel,2022-01-17,9
116,382,3,Israel,2022-04-11,7
117,466,26,Israel,,4
118,385,16,United States,2022-08-20,5
119,227,30,Singapore,2020-09-23,9
120,275,29,Japan,2022-04-03,8
121,336,35,Japan,2021-05-16,
122,429,12,Israel,2023-03-21,9
123,363,22,Brazil,2020-12-17,8
124,42,33,United States,2022-01-01,7
125,294,,Australia,2023-08-12,9
126,75,36,France,2023-08-13,8
127,278,8,Italy,2022-05-08,6
128,152,31,Australia,2023-12-18,9
129,330,21,Japan,2023-08-21,5
130,210,,Brazil,2023-03-29,6
131,129,36,Israel,2021-04-27,9
132,245,6,United Kingdom,2022-06-13,
133,458,29,Spain,2022-01-15,8
134,2,28,Sweden,2020-04-29,9
135,99,21,Argentina,2021-05-06,8
136,366,23,India,2020-09-03,8
137,348,10,United States,2021-11-15,5
138,484,16,United States,,7
139,70,25,Singapore,,8
140,153,5,United States,,8
141,396,23,France,2020-03-15,5
142,191,9,Sweden,2023-11-11,9
143,285,9,Argentina,2023-10-27,7
144,266,27,Italy,2021-05-10,5
145,329,20,Japan,2020-02-08,7
146,137,2,Brazil,2022-12-28,7
147,359,6,Singapore,2020-06-04,8
148,5,9,Israel,2021-11-17,7
149,382,21,Japan,2023-07-23,4
150,500,31,Brazil,2023-02-12,3
151,268,4,Spain,,3
152,370,13,United Kingdom,2023-03-10,7
153,361,14,Germany,2023-04-09,6
154,324,10,Singapore,2021-12-11,9
155,311,25,Japan,2020-11-29,8
156,145,36,Spain,2022-10-08,8
157,208,25,Brazil,2021-02-08,8
158,360,11,Germany,2023-12-05,3
159,62,9,Israel,2023-11-01,9
160,242,11,India,,8
161,37,12,Germany,2020-06-14,7
162,281,7,United States,2023-01-26,8
163,201,33,Brazil,2022-01-31,8
164,450,3,Canada,2020-05-14,2
165,228,21,Israel,2020-10-06,5
166,347,2,Brazil,2023-09-30,8
167,199,28,Argentina,2023-11-10,9
168,200,13,Japan,2022-03-05,9
169,180,7,United States,2021-09-22,4
170,269,31,Spain,2023-10-14,7
171,458,12,Italy,2023-03-14,2
172,382,8,Israel,2020-09-01,8
173,329,36,Singapore,2022-10-03,
174,40,21,France,2022-11-19,9
175,319,25,Japan,2020-11-23,4
176,379,14,Italy,2022-03-10,8
177,112,31,United Kingdom,2021-06-19,8
178,299,32,United States,,9
179,44,28,India,2023-03-10,9
180,363,19,United States,2021-10-11,8
181,363,36,Canada,2022-03-22,9
182,253,34,United States,,8
183,244,32,United Kingdom,2023-04-20,9
184,43,4,Japan,2021-06-14,7
185,256,28,Japan,2021-05-29,8
186,280,26,Israel,2022-03-31,9
187,468,27,United Kingdom,2022-02-13,8
188,428,12,Canada,2023-02-05,10
189,389,29,Japan,2022-12-11,9
190,443,19,Brazil,2022-06-30,9
191,348,25,Germany,2023-06-25,
192,323,35,Spain,2023-05-14,3
193,90,8,United States,2022-04-13,
194,43,16,Israel,2022-04-14,5
195,34,3,Singapore,2023-01-02,1
